State,Code,Governor,Glasses,Portrait,Bird,IdolWinners_Count,IdolWinners_Names
Alabama,AL,Kay Ivey,1 checked out of 1,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Portrait-Governor-Kay-Ivey_%28cropped%29.jpg/187px-Portrait-Governor-Kay-Ivey_%28cropped%29.jpg,Yellowhammer,2,"Ruben Studdard,Taylor Hicks"
Alaska,AK,Mike Dunleavy,0 checked out of 1,,Willow ptarmigan,0,
Arizona,AZ,Doug Ducey,0 checked out of 1,,Cactus wren,1,Jordin Sparks
Arkansas,AR,Asa Hutchinson,0 checked out of 1,,Northern mockingbird,1,Kris Allen
California,CA,Gavin Newsom,0 checked out of 1,,California quail,0,
Colorado,CO,Jared Polis,0 checked out of 1,,Lark bunting,0,
Connecticut,CT,Ned Lamont,0 checked out of 1,,American robin,0,
Delaware,DE,John Carney,0 checked out of 1,,Delaware Blue Hen,0,
District of Columbia,DC,Muriel Bowser,0 checked out of 1,,Wood thrush,0,
Florida,FL,Ron DeSantis,0 checked out of 1,,Northern mockingbird,0,
Georgia,GA,Brian Kemp,0 checked out of 1,,Brown thrasher,1,Phillip Phillips
Hawaii,HI,David Ige,0 checked out of 1,,Hawaiian goose (Nēnē),0,
Idaho,ID,Brad Little,0 checked out of 1,,Mountain bluebird,0,
Illinois,IL,J. B. Pritzker,0 checked out of 1,,Northern cardinal,1,Lee DeWyze
Indiana,IN,Eric Holcomb,1 checked out of 1,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Eric_Holcomb_Grissom.jpg/189px-Eric_Holcomb_Grissom.jpg,Northern cardinal,0,
Iowa,IA,Kim Reynolds,0 checked out of 1,,Eastern goldfinch (American goldfinch),1,Maddie Poppe
Kansas,KS,Laura Kelly,1 checked out of 1,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Laura_Kelly_official_photo_%28cropped%29.jpg/183px-Laura_Kelly_official_photo_%28cropped%29.jpg,Western meadowlark,0,
Kentucky,KY,Andy Beshear,0 checked out of 1,,Northern cardinal,0,
Louisiana,LA,John Bel Edwards,0 checked out of 1,,Brown pelican,1,Laine Hardy
Maine,ME,Janet Mills,0 checked out of 1,,Chickadee,0,
Maryland,MD,Larry Hogan,1 checked out of 1,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Governor_Hogan_2018_%28cropped%29.jpg/185px-Governor_Hogan_2018_%28cropped%29.jpg,Baltimore oriole,0,
Massachusetts,MA,Charlie Baker,0 checked out of 1,,Black-capped chickadee,0,
Michigan,MI,Gretchen Whitmer,0 checked out of 1,,American robin,0,
Minnesota,MN,Tim Walz,0 checked out of 1,,Common loon,0,
Mississippi,MS,Tate Reeves,1 checked out of 1,https://upload.wikimedia.org/wikipedia/commons/8/80/Tate_Reeves_2019.jpg,Northern mockingbird,1,Trent Harmon
Missouri,MO,Mike Parson,0 checked out of 1,,Eastern bluebird,1,David Cook
Montana,MT,Steve Bullock,0 checked out of 1,,Western meadowlark,0,
Nebraska,NE,Pete Ricketts,0 checked out of 1,,Western meadowlark,0,
Nevada,NV,Steve Sisolak,0 checked out of 1,,Mountain bluebird,0,
New Hampshire,NH,Chris Sununu,0 checked out of 1,,Purple finch,0,
New Jersey,NJ,Phil Murphy,0 checked out of 1,,Eastern goldfinch (American goldfinch),0,
New Mexico,NM,Michelle Lujan Grisham,0 checked out of 1,,Chaparral bird (Greater roadrunner),0,
New York,NY,Andrew Cuomo,0 checked out of 1,,Eastern bluebird,1,Just Sam
North Carolina,NC,Roy Cooper,0 checked out of 1,,Northern cardinal,3,"Fantasia Barrino,Scotty McCreery,Caleb Johnson"
North Dakota,ND,Doug Burgum,1 checked out of 1,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Governor_Doug_Burgum_%28cropped%29.jpg/179px-Governor_Doug_Burgum_%28cropped%29.jpg,Western meadowlark,0,
Ohio,OH,Mike DeWine,1 checked out of 1,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Gov-Mike-DeWine_%28cropped%29.jpg/176px-Gov-Mike-DeWine_%28cropped%29.jpg,Northern cardinal,0,
Oklahoma,OK,Kevin Stitt,0 checked out of 1,,Scissor-tailed flycatcher,1,Carrie Underwood
Oregon,OR,Kate Brown,1 checked out of 1,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Kate_Brown_in_2017_%28cropped%29.jpg/184px-Kate_Brown_in_2017_%28cropped%29.jpg,Western meadowlark,0,
Pennsylvania,PA,Tom Wolf,1 checked out of 1,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Tom_Wolf_governor_portrait_2019_%28cropped%29.jpg/173px-Tom_Wolf_governor_portrait_2019_%28cropped%29.jpg,Ruffed Grouse,0,
Rhode Island,RI,Gina Raimondo,0 checked out of 1,,Rhode Island Red,0,
South Carolina,SC,Henry McMaster,0 checked out of 1,,Carolina wren,1,Candice Glover
South Dakota,SD,Kristi Noem,0 checked out of 1,,Ring-necked pheasant,0,
Tennessee,TN,Bill Lee,0 checked out of 1,,Northern mockingbird,0,
Texas,TX,Greg Abbott,0 checked out of 1,,Northern mockingbird,1,Kelly Clarkson
Utah,UT,Gary Herbert,0 checked out of 1,,California gull,0,
Vermont,VT,Phil Scott,0 checked out of 1,,Hermit thrush,0,
Virginia,VA,Ralph Northam,0 checked out of 1,,Northern cardinal,0,
Washington,WA,Jay Inslee,0 checked out of 1,,Willow goldfinch (American goldfinch),0,
West Virginia,WV,Jim Justice,0 checked out of 1,,Northern cardinal,0,
Wisconsin,WI,Tony Evers,1 checked out of 1,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Tony_Evers_%28cropped%29.jpg/180px-Tony_Evers_%28cropped%29.jpg,American robin,0,
Wyoming,WY,Mark Gordon,0 checked out of 1,,Western meadowlark,0,
"United States Virgin
  Islands",VI,Albert Bryan,1 checked out of 1,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Governor_Albert_Bryan_Jr..jpg/192px-Governor_Albert_Bryan_Jr..jpg,,0,
"Commonwealth of the Northern Mariana
  Islands",MP,Ralph Torres,0 checked out of 1,,,0,
Guam,GU,Lou Leon Guerrero,0 checked out of 1,,Guam rail (ko'ko'),0,
Puerto Rico,PR,Wanda Vázquez Garced,0 checked out of 1,,Puerto Rican spindalis,0,
American Samoa,AS,Lolo Matalasi Moliga,0 checked out of 1,,None (See List of birds of American Samoa),0,
Connecticutt,,,,,,1,Nick Fradiani
